Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,517209132;0,40404086;0,00769827;0,027752256
2001014016;-0,476645264;0,443309649;0,00879732;0,023217419
2002028416;-0,437116837;0,499697218;0,010514807;0,018395204
2003043456;-0,396188079;0,558894341;0,012564143;0,017312893
2004058880;-0,335353644;0,588400117;0,013541407;0,013027586
2005074688;-0,271275518;0,621746326;0,019171244;0,008995575
2006091136;-0,210573056;0,656169709;0,02101843;0,014047962
2007108224;-0,141563901;0,678698773;0,021624931;0,012646504
2008125824;-0,058795851;0,697567423;0,020678725;0,011202506
2009143808;0,006443381;0,698650519;0,023205493;0,01069414
2010162304;0,081911621;0,69484078;0,02286105;0,009928709
2011181312;0,162016312;0,660556887;0,026186504;0,00543189
2012201088;0,234060166;0,64780158;0,027070457;3,48E-05
2013220992;0,293430292;0,619313921;0,02530273;-0,001360359
2014241664;0,348413492;0,573592313;0,024899981;-0,005317018
2015262848;0,414902533;0,528277048;0,024767736;-0,008443936
2016284416;0,484737219;0,469612069;0,0249986;-0,011964092
2017306752;0,531896011;0,393800054;0,023498427;-0,014011214
2018329344;0,572053145;0,34798129;0,021671129;-0,015948689
2019352704;0,610792451;0,267167198;0,021556036;-0,016009523
2020376448;0,638245191;0,196717149;0,024949047;-0,021349337
2021400704;0,658032617;0,128233967;0,021189996;-0,017247958
2022425472;0,668915514;0,082287965;0,018701205;-0,018151347
2023450624;0,694074028;-0,005355339;0,016986885;-0,019556266
2024476544;0,692546805;-0,049291487;0,017176233;-0,020949671
2025502720;0,682368257;-0,101318008;0,014814608;-0,019663123
2026529536;0,672760536;-0,159528365;0,01357124;-0,022336519
2027557120;0,678756186;-0,209275293;0,009612472;-0,021038608
2028584960;0,667089386;-0,259494497;0,009829377;-0,023199732
2029613312;0,659215417;-0,308014813;0,004417603;-0,019633676
2030642304;0,646230241;-0,354488274;0,004956072;-0,021444778
2031671808;0,634845018;-0,407702033;0,00354514;-0,023265197
2032701696;0,62012905;-0,446978647;0,001648617;-0,022003364
2033732224;0,602346144;-0,485314442;-0,002018828;-0,020709666
2034763136;0,577588177;-0,520043379;-0,003602839;-0,01708404
2035794688;0,54591514;-0,539389907;-0,006413199;-0,016136683
2036826880;0,520160476;-0,565538317;-0,009495429;-0,012620945
2037859456;0,478391718;-0,583656538;-0,007761784;-0,011430814
2038892544;0,448391938;-0,596778069;-0,006515201;-0,010126904
2039926016;0,416507798;-0,62828587;-0,003245325;-0,010966945
2040960256;0,400105422;-0,662830959;-0,005285407;-0,007449932
2041995008;0,369943491;-0,677822128;-0,007908862;-0,007220095
2043030272;0,32752555;-0,682532212;-0,010506694;-0,006666023
2044065920;0,302434583;-0,692113383;-0,008831093;-0,006418414
2045102080;0,273070923;-0,688567254;-0,009241036;-0,002511065
2046139008;0,233231063;-0,685269461;-0,011042476;0,001502176
2047176320;0,203976926;-0,692269813;-0,008256958;0,001534342
2048214144;0,179338365;-0,701108453;-0,008102144;0,004854981
2049252480;0,147090098;-0,705923427;-0,006867081;0,004107546
2050291328;0,121027679;-0,712574195;-0,004972338;0,006284836
2051330816;0,080621966;-0,701958973;-0,006592075;0,004858485
2052370816;0,040552761;-0,698163814;-0,007520126;0,012367167
2053411200;0,001376372;-0,685152171;-0,002868508;0,014077171
2054452224;-0,050923852;-0,672203107;-0,005523164;0,015059253
2055493888;-0,100707604;-0,658326773;-0,00701834;0,014214799
2056535680;-0,139676176;-0,65162854;-0,006908883;0,013978675
2057578368;-0,16212602;-0,649137127;-0,005794306;0,014172795
2058621440;-0,194594609;-0,639106947;-0,003534053;0,013212988
2059665152;-0,228374962;-0,621937617;0,003293581;0,011573318
2060709248;-0,264137407;-0,61249237;0,001157479;0,013340361
2061753984;-0,315080594;-0,588943695;0,011435404;0,012892141
2062799232;-0,351268069;-0,558632484;0,010986781;0,011089865
2063844864;-0,396227116;-0,534153714;0,009905241;0,009459299
2064891392;-0,42580948;-0,515675799;0,01264935;0,011390717
2065938048;-0,442383495;-0,495338028;0,011415733;0,006954199
2066985344;-0,484441117;-0,475455417;0,009554693;0,004645788
2068033280;-0,511545564;-0,454565449;0,016042431;0,003288165
2069081728;-0,548934107;-0,422967337;0,012499009;0,004045249
2070130560;-0,585949626;-0,400527394;0,016469686;0,001282239
2071180160;-0,607976396;-0,356358132;0,018987982;0,003550067
2072230144;-0,634085517;-0,323688587;0,016224462;0,00438924
2073280512;-0,670340189;-0,297119485;0,016895869;0,00543381
2074331776;-0,694519827;-0,260038038;0,017737515;0,001145226
2075383424;-0,710181945;-0,217809566;0,016521749;-0,00110126
2076435584;-0,715346934;-0,176817857;0,018094922;-0,001200055
2077488128;-0,736117469;-0,135924938;0,015913634;-0,004060888
2078541312;-0,757206577;-0,089361378;0,010958207;-0,00505134
2079595136;-0,745599584;-0,047076769;0,009926436;-0,001558446
2080649344;-0,765474193;0,000746686;0,00945559;0,000980344
2081704192;-0,766738148;0,045766086;0,006678204;-0,00422078
2082759424;-0,769031175;0,08994372;0,006453806;-0,003164107
2083815296;-0,770337116;0,140890714;0,007846129;-0,0048979
2084871808;-0,74441298;0,198851123;0,005395069;-0,004044371
2085928704;-0,728157844;0,243629594;0,003409619;-0,007860556
2086986240;-0,720250001;0,292469639;0,004646542;7,20E-05
2088044160;-0,674599535;0,346533378;0,003494683;0,000547378
2089102720;-0,650190282;0,398457834;0,002281535;-0,000605463
2090161792;-0,607611827;0,442788332;-0,001302596;-0,003925387
2091221632;-0,555025437;0,502612039;0,001508091;-0,005387794
2092281600;-0,498660646;0,53683292;0,00114245;-0,000181712
2093342336;-0,431049311;0,581688765;-0,001023425;-8,31E-05
2094403456;-0,377934129;0,61699431;-0,003692523;0,003799816
2095465472;-0,308268898;0,639868186;-0,003540117;0,003846853
2096527872;-0,252868749;0,656656754;-0,004852204;0,001435255
2097590400;-0,163668142;0,687673186;-0,005664566;0,00788453
2098654080;-0,077130339;0,694297261;-0,006470629;0,006911172
2099717888;-0,005880123;0,721420737;-0,004226599;0,004906021
2100782336;0,049156484;0,713519627;-0,003308612;0,005779171
2101847424;0,135959685;0,720779709;-0,007371589;0,013680166
2102912896;0,224296997;0,70978668;-0,006608204;0,010562896
2103979136;0,275179102;0,693490416;-0,009426285;0,013785666
2105045504;0,365815472;0,675021427;-0,008003163;0,011620736
2106112768;0,435146092;0,636850076;-0,00912942;0,017197456
2107180544;0,491380505;0,601584254;-0,007254734;0,019920786
2108248704;0,539253992;0,557879687;-0,008436793;0,017899117
2109317504;0,605550871;0,526921498;-0,009561573;0,020921913
2110386816;0,653485884;0,481899241;-0,009560285;0,016003099
2111456896;0,693724526;0,455000791;-0,011385537;0,019550813
2112527104;0,735621648;0,396826925;-0,012377523;0,015207319
2113598080;0,746792481;0,349153076;-0,009511525;0,013585606
2114669824;0,765819231;0,309250513;-0,011831993;0,01689492
2115741696;0,774130549;0,249317422;-0,008264556;0,015807013
2116814336;0,811133708;0,205272916;-0,009772505;0,017976201
2117887488;0,79105808;0,151181776;-0,007302928;0,011570601
2118961152;0,814235966;0,10461049;-0,007876226;0,018891431
2120035456;0,823267569;0,060706709;-0,00961123;0,017718078
2121110144;0,820572761;0,007363431;-0,005696186;0,013981331
2122185472;0,810749126;-0,028572389;-0,00682864;0,017619406
2123261440;0,806435715;-0,063023116;-0,007882078;0,018389349
2124337664;0,794401145;-0,114738961;-0,010248191;0,018564371
2125414656;0,770265101;-0,165183449;-0,008517025;0,013242727
2126492288;0,759623832;-0,196521245;-0,01021585;0,013036614
2127570176;0,722384871;-0,226362612;-0,002718177;0,010125751
2128648704;0,703248231;-0,255504685;-0,00240616;0,01405104
2129728128;0,681627092;-0,290894386;-0,004776093;0,012814193
2130807680;0,659363152;-0,315583471;-0,00437633;0,011038626
2131887872;0,631434324;-0,334005475;-0,002432201;0,012126643
2132968704;0,599164154;-0,368402575;-0,004002522;0,00717808
2134050176;0,574307717;-0,396290919;-0,00196006;0,00974968
2135131776;0,535054854;-0,426232503;0,000881701;0,007410103
2136214272;0,505294594;-0,456968501;-0,006269573;0,010159722
2137297408;0,478802655;-0,482637802;-0,006854891;0,009610539
2138380800;0,433154908;-0,505617245;-0,003555229;0,008398761
2139464832;0,402304278;-0,527802014;-0,004159706;0,004877476
2140549376;0,373728033;-0,535286925;-0,001214867;0,004496316
2141634688;0,348575596;-0,551346109;-0,003617283;0,006495335
2142720512;0,317265361;-0,575801593;-0,00124421;0,003028877
2143806720;0,275201184;-0,611137363;0,001423931;0,001675983
2144893440;0,238175959;-0,636303072;-0,002402326;0,003372057
2145980800;0,210902324;-0,646411222;-0,006702254;0,001405731
2147068800;0,170337979;-0,656855382;-0,002671076;0,003609837
2148157440;0,157918847;-0,653939453;-0,006345846;0,000654979
2149246208;0,121788504;-0,672339841;-0,003195018;0,001809689
2150335744;0,082957964;-0,695848498;0,000435337;0,002040601
2151426048;0,051052781;-0,714123714;-0,002850644;0,00108741
2152516864;0,019005506;-0,718206414;-0,006611284;-0,000393277
2153608192;-0,009356151;-0,723660622;-0,003901311;0,000728493
2154699776;-0,032450464;-0,714921285;-0,003198598;-0,001255991
2155791872;-0,061985366;-0,709886414;-0,00503213;-0,001098613
2156884992;-0,089877861;-0,717466778;-0,004388606;0,000684286
2157978624;-0,110665102;-0,715923215;-0,005114768;-0,000376238
2159072512;-0,140156374;-0,715554216;-0,005858308;-0,003118359
2160166912;-0,157026477;-0,721708088;-0,003172219;-0,006025714
2161262080;-0,189655201;-0,718711745;-0,003609286;-0,002086517
2162357760;-0,214458166;-0,703445883;-0,001680748;-0,004590012
2163453952;-0,246331672;-0,695606358;-0,00046451;-0,002775101
2164550656;-0,277345231;-0,679797499;-0,006064188;-0,007054472
2165648128;-0,307796605;-0,664158321;-0,004409609;-0,006934819
2166746112;-0,337445408;-0,643829626;-0,007682961;-0,005983835
2167844608;-0,364498216;-0,618326238;-0,009127111;-0,009583091
2168943616;-0,395106964;-0,590318437;-0,012691996;-0,0107285
2170043136;-0,4193891;-0,570397504;-0,013198254;-0,010113468
2171143168;-0,453589428;-0,554878076;-0,008947045;-0,008770133
2172243712;-0,483168643;-0,532764123;-0,012915991;-0,009991967
2173345024;-0,52288444;-0,497274193;-0,011728697;-0,008573414
2174447104;-0,547881098;-0,461108551;-0,011700169;-0,01081703
2175549184;-0,576278363;-0,420668935;-0,012042429;-0,010736245
2176652288;-0,617650975;-0,373177931;-0,01361184;-0,01595947
2177755648;-0,652542121;-0,343318982;-0,011658413;-0,013435313
2178859776;-0,678107961;-0,304050552;-0,008832332;-0,013030054
2179964416;-0,698708211;-0,261911832;-0,008804962;-0,011146407
2181069312;-0,716759506;-0,216802816;-0,01071944;-0,008989347
2182175232;-0,741989658;-0,164501183;-0,009596852;-0,010243432
2183281408;-0,75736774;-0,117949596;-0,011302505;-0,007358891
2184388352;-0,792717128;-0,052609467;-0,006259482;-0,009652602
2185495552;-0,807359085;0,012434771;-0,008413767;-0,00954291
2186603776;-0,841012762;0,086676045;-0,007937751;-0,015602358
2187712256;-0,84333227;0,149328545;-0,00374097;-0,013961089
2188821248;-0,858913986;0,214497257;-0,00661506;-0,013763078
2189931008;-0,857793222;0,258001535;-0,004682167;-0,010889028
2191041280;-0,850722593;0,328675541;-0,006578027;-0,018323509
2192151808;-0,8558359;0,406942471;-0,006768236;-0,019028741
2193263360;-0,836214579;0,46337289;-0,007760863;-0,009132877
