Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,591498657;0,306776189;0,02655646;-0,018190363
2001014016;-0,564755114;0,383150182;0,023273542;-0,020425817
2002028416;-0,545796712;0,435720594;0,026391925;-0,029004702
2003043456;-0,4934974;0,495270005;0,021491088;-0,034127601
2004058880;-0,445427832;0,551222442;0,022583;-0,030921786
2005074688;-0,404673748;0,60909352;0,02154993;-0,032623771
2006091136;-0,355788176;0,655423426;0,018603255;-0,031902697
2007108224;-0,279039129;0,697603829;0,016462977;-0,031811642
2008125824;-0,219067025;0,742575783;0,013630522;-0,033002286
2009143808;-0,123711125;0,746403519;0,012700216;-0,036201246
2010162304;-0,035802004;0,755879211;0,008081389;-0,029945896
2011181312;0,046844669;0,744908955;0,006646854;-0,030940035
2012201088;0,12555657;0,720415311;0,004077563;-0,032109937
2013220992;0,201950239;0,691012808;0,002348229;-0,038055554
2014241664;0,279710957;0,659929219;-0,000675231;-0,036476405
2015262848;0,352521001;0,620452277;-0,002479104;-0,037415269
2016284416;0,416682286;0,575638681;-0,010166839;-0,031703159
2017306752;0,489523849;0,524134513;-0,009725293;-0,028764541
2018329344;0,537299165;0,439426523;-0,010595597;-0,029008004
2019352704;0,573547739;0,382277065;-0,015257067;-0,02700669
2020376448;0,614662061;0,31865618;-0,014840533;-0,027022174
2021400704;0,657713146;0,239703495;-0,012790148;-0,023320455
2022425472;0,686325697;0,164634829;-0,015344075;-0,018822977
2023450624;0,700017735;0,097450686;-0,017272825;-0,01912662
2024476544;0,708365505;0,014377856;-0,022260074;-0,015742279
2025502720;0,718766422;-0,045423515;-0,022085318;-0,011929129
2026529536;0,708502596;-0,087545406;-0,023387642;-0,012894314
2027557120;0,711700272;-0,152556007;-0,020287945;-0,011272098
2028584960;0,70222711;-0,210249153;-0,020214773;-0,008178304
2029613312;0,710544982;-0,268362818;-0,022017468;-0,005820158
2030642304;0,694881633;-0,311228137;-0,022672014;-0,004982988
2031671808;0,679693871;-0,36102155;-0,024405982;-0,004658652
2032701696;0,65957789;-0,407932482;-0,029166337;0,000551076
2033732224;0,631470029;-0,43912496;-0,028970799;0,003687437
2034763136;0,590858368;-0,462897896;-0,032641683;0,008307964
2035794688;0,578166431;-0,506454034;-0,024377437;0,006106359
2036826880;0,539720328;-0,525643634;-0,028614717;0,010474521
2037859456;0,520516005;-0,562529827;-0,026254346;0,01111316
2038892544;0,49377847;-0,5962508;-0,015821912;0,011485983
2039926016;0,464710675;-0,625260587;-0,013313103;0,014322249
2040960256;0,431410951;-0,647130014;-0,014811699;0,014286549
2041995008;0,395720693;-0,666475463;-0,017921992;0,01393048
2043030272;0,357605364;-0,677878427;-0,013091529;0,016617687
2044065920;0,331071969;-0,683081723;-0,014232413;0,014885606
2045102080;0,304372461;-0,695424766;-0,00755625;0,017115264
2046139008;0,273123068;-0,690435025;-0,006944672;0,018047446
2047176320;0,242501632;-0,701992071;-0,005419379;0,016181127
2048214144;0,208200164;-0,705063546;-0,00283733;0,017161435
